state,region,Confirmed Program,Program Category,Subcategory,prisons_tot
TX,South,1,Crops,silviculture,1
TX,South,1,Food Production,cannery,2
TX,South,1,Food Production,feed mill,1
TX,South,1,Food Production,food bank,5
TX,South,1,Food Production,meat processing,1
TX,South,1,Food Production,other,1
TX,South,1,Horticulture,garden,62
TX,South,1,Horticulture,horticulture vocational training,1
TX,South,1,Other,food bank,4
UT,West,1,Horticulture,greenhouse,1
VA,South,1,Animal Agriculture,aquaculture,1
VA,South,1,Animal Agriculture,dairy,1
VA,South,1,Animal Agriculture,livestock,18
VA,South,1,Crops,crops,21
VA,South,1,Crops,orchard,2
VA,South,1,Food Production,food processing,2
VA,South,1,Food Production,meat processing,1
VA,South,1,Horticulture,composting,15
VA,South,1,Horticulture,garden,8
VA,South,1,Horticulture,geenhouse,1
VA,South,1,Horticulture,greenhouse,11
VA,South,1,Horticulture,horticulture program,7
VT,Northeast,1,Horticulture,garden,2
VT,Northeast,1,Horticulture,horticulture vocational training,1
WA,West,1,Animal Agriculture,aquaculture,1
WA,West,1,Animal Agriculture,beekeeping,11
WA,West,1,Crops,crops,1
WA,West,1,Horticulture,composting,10
WA,West,1,Horticulture,flower garden,8
WA,West,1,Horticulture,garden,10
WA,West,1,Horticulture,greenhouse,3
WA,West,1,Horticulture,horticulture vocational training,2
WA,West,1,Horticulture,unspecified horticulture,2
WA,West,1,Other,aquaponics,2
WA,West,1,Other,butterfly food source planting,1
WA,West,1,Other,conservation,1
WA,West,1,Other,diversity garden,1
WA,West,1,Other,firewood,1
WA,West,1,Other,firewood donation,1
WA,West,1,Other,food waste reduction,1
WA,West,1,Other,grace program,1
WA,West,1,Other,green building,1
WA,West,1,Other,green zone,1
WA,West,1,Other,heritage garden,1
WA,West,1,Other,institutional sustainability garden,1
WA,West,1,Other,lifer garden,1
WA,West,1,Other,maintain city public flowers,1
WA,West,1,Other,monarch butterfly program,1
WA,West,1,Other,offsite farming crew,1
WA,West,1,Other,plant and animal habitats,1
WA,West,1,Other,polinator garden,1
WA,West,1,Other,pollinator garden,1
WA,West,1,Other,pollinator habitat and forage,1
WA,West,1,Other,prairie conservation nursery,3
WA,West,1,Other,roots of success,10
WA,West,1,Other,seeds to supper,1
WA,West,1,Other,vermiculture,1
WI,North Central,1,Animal Agriculture,beekeeping,1
WI,North Central,1,Crops,orchard,1
WI,North Central,1,Food Production,dairy processing,1
WI,North Central,1,Horticulture,garden,2
WI,North Central,1,Horticulture,unspecified horticulture,1
WI,North Central,1,Other,community youth garden program,1
WI,North Central,1,Other,dairy worker certification program,1
WI,North Central,1,Other,pheasant farm,1
WV,South,1,Crops,crops,3
WV,South,1,Horticulture,garden,8
WV,South,1,Horticulture,greenhouse,1
WY,West,1,Horticulture,garden,3
