ID.PrisonAg,Confirmed_Activities,Activity_Category,Activity_Subcategory
560,1,Horticulture & Landscaping,Horticulture Program
1014,1,Food Processing & Production,Food Processing
1018,1,Animal Agriculture,Equine
1019,1,Horticulture & Landscaping,Garden
1019,1,Horticulture & Landscaping,Flowers
1024,1,Crops & Silviculture,Crops
1026,1,Horticulture & Landscaping,Garden
1027,1,Horticulture & Landscaping,Garden
1028,1,Horticulture & Landscaping,Horticulture Program
1029,1,Horticulture & Landscaping,Garden
1032,1,Horticulture & Landscaping,Horticulture Program
1032,1,Horticulture & Landscaping,Garden
1032,1,Horticulture & Landscaping,Composting
1034,1,Horticulture & Landscaping,Horticulture Program
1034,1,Horticulture & Landscaping,Garden
1038,1,Horticulture & Landscaping,Garden
1039,1,Horticulture & Landscaping,Garden
1044,1,Horticulture & Landscaping,Garden
1046,1,Horticulture & Landscaping,Horticulture Program
1049,1,Horticulture & Landscaping,Garden
1055,1,Crops & Silviculture,Crops
1066,1,Horticulture & Landscaping,Garden
1068,1,Horticulture & Landscaping,Garden
1083,1,Horticulture & Landscaping,Horticulture Program
1084,1,Horticulture & Landscaping,Greenhouse
1084,1,Horticulture & Landscaping,Horticulture Program
1097,1,Horticulture & Landscaping,Horticulture Program
1098,1,Horticulture & Landscaping,Horticulture Program
1105,1,Horticulture & Landscaping,Garden
1105,1,Horticulture & Landscaping,Flowers
1105,1,Horticulture & Landscaping,Landscaping
1107,1,Horticulture & Landscaping,Garden
1107,1,Horticulture & Landscaping,Landscaping
1,1,Horticulture & Landscaping,Horticulture Program
2,1,Horticulture & Landscaping,Horticulture Program
2,1,Animal Agriculture,Equine
5,1,Horticulture & Landscaping,Horticulture Program
8,1,Horticulture & Landscaping,Horticulture Program
11,1,Horticulture & Landscaping,Horticulture Program
11,1,Crops & Silviculture,Crops
11,1,Animal Agriculture,Equine
11,1,Animal Agriculture,Livestock
12,1,Horticulture & Landscaping,Horticulture Program
17,1,Animal Agriculture,Equine
20,1,Horticulture & Landscaping,Garden
21,1,Horticulture & Landscaping,Garden
22,1,Horticulture & Landscaping,Garden
23,1,Horticulture & Landscaping,Garden
24,1,Food Processing & Production,Meat Processing
25,1,Horticulture & Landscaping,Flowers
26,1,Horticulture & Landscaping,Garden
27,1,Horticulture & Landscaping,Garden
27,1,Horticulture & Landscaping,Greenhouse
27,1,Horticulture & Landscaping,Therapy Garden
27,1,Food Processing & Production,State Central Kitchen
31,1,Horticulture & Landscaping,Flowers
31,1,Horticulture & Landscaping,House Plants
31,1,Horticulture & Landscaping,Therapy Garden
34,1,Crops & Silviculture,Crops
34,1,Animal Agriculture,Aquaculture
35,1,Horticulture & Landscaping,Horticulture Program
35,1,Horticulture & Landscaping,Greenhouse
35,1,Horticulture & Landscaping,Master Gardener Class
35,1,Horticulture & Landscaping,Flowers
35,1,Horticulture & Landscaping,Arboriculture
36,1,Horticulture & Landscaping,Garden
38,1,Horticulture & Landscaping,Garden
40,1,Horticulture & Landscaping,Therapy Garden
41,1,Horticulture & Landscaping,Greenhouse
41,1,Horticulture & Landscaping,Flowers
41,1,Horticulture & Landscaping,Garden
42,1,Horticulture & Landscaping,Garden
44,1,Horticulture & Landscaping,Garden
48,1,Horticulture & Landscaping,Garden
49,1,Horticulture & Landscaping,Greenhouse
49,1,Horticulture & Landscaping,Garden
49,1,Horticulture & Landscaping,Flowers
49,1,Horticulture & Landscaping,Vegetable Starters
49,1,Horticulture & Landscaping,Flowers
50,1,Horticulture & Landscaping,Garden
53,1,Horticulture & Landscaping,Garden
53,1,Horticulture & Landscaping,Horticulture Program
54,1,Horticulture & Landscaping,Greenhouse
54,1,Horticulture & Landscaping,Garden
56,1,Horticulture & Landscaping,Garden
56,1,Horticulture & Landscaping,Horticulture Program
57,1,Horticulture & Landscaping,Garden
59,1,Horticulture & Landscaping,Garden
60,1,Horticulture & Landscaping,Garden
60,1,Horticulture & Landscaping,Composting
60,1,Horticulture & Landscaping,Flowers
65,1,Horticulture & Landscaping,Horticulture Program
65,1,Horticulture & Landscaping,Garden
65,1,Horticulture & Landscaping,Greenhouse
65,1,Horticulture & Landscaping,Landscaping
65,1,Horticulture & Landscaping,Pest Management
65,1,Horticulture & Landscaping,Farmers Market
67,1,Horticulture & Landscaping,Garden
67,1,Horticulture & Landscaping,Pollinator Garden
67,1,Crops & Silviculture,Orchard
67,1,Animal Agriculture,Beekeeping
68,1,Horticulture & Landscaping,Garden
68,1,Horticulture & Landscaping,Flowers
71,1,Horticulture & Landscaping,Garden
72,1,Horticulture & Landscaping,Garden
72,1,Horticulture & Landscaping,Greenhouse
72,1,Horticulture & Landscaping,Pollinator Garden
72,1,Horticulture & Landscaping,Composting
73,1,Horticulture & Landscaping,Garden
73,1,Horticulture & Landscaping,Flowers
73,1,Horticulture & Landscaping,Pollinator Garden
73,1,Animal Agriculture,Butterfly Hatchery
76,1,Horticulture & Landscaping,Garden
76,1,Crops & Silviculture,Orchard
77,1,Horticulture & Landscaping,Garden
77,1,Horticulture & Landscaping,Composting
77,1,Crops & Silviculture,Orchard
77,1,Animal Agriculture,Beekeeping
77,1,Food Processing & Production,Honey Production
78,1,Horticulture & Landscaping,Aquaponics
79,1,Horticulture & Landscaping,Horticulture Program
79,1,Horticulture & Landscaping,Garden
79,1,Horticulture & Landscaping,Hydroponics
80,1,Horticulture & Landscaping,Garden
80,1,Food Processing & Production,Food Processing
82,1,Horticulture & Landscaping,Garden
82,1,Horticulture & Landscaping,Composting
83,1,Horticulture & Landscaping,Garden
83,1,Horticulture & Landscaping,Landscaping
83,1,Horticulture & Landscaping,Pest Management
83,1,Horticulture & Landscaping,Greenhouse
83,1,Horticulture & Landscaping,Composting
84,1,Horticulture & Landscaping,Garden
85,1,Horticulture & Landscaping,Garden
87,1,Horticulture & Landscaping,Garden
87,1,Horticulture & Landscaping,Greenhouse
87,1,Horticulture & Landscaping,Flowers
89,1,Horticulture & Landscaping,Garden
94,1,Horticulture & Landscaping,Garden
96,1,Horticulture & Landscaping,Garden
97,1,Horticulture & Landscaping,Garden
98,1,Horticulture & Landscaping,Garden
98,1,Horticulture & Landscaping,Landscaping
98,1,Horticulture & Landscaping,Pest Management
98,1,Horticulture & Landscaping,Greenhouse
98,1,Food Processing & Production,Food Processing
99,1,Horticulture & Landscaping,Garden
100,1,Horticulture & Landscaping,Garden
100,1,Horticulture & Landscaping,Landscaping
100,1,Horticulture & Landscaping,Pest Management
100,1,Horticulture & Landscaping,Greenhouse
101,1,Horticulture & Landscaping,Garden
101,1,Animal Agriculture,Eggs
103,1,Horticulture & Landscaping,Garden
104,1,Horticulture & Landscaping,Garden
104,1,Horticulture & Landscaping,Greenhouse
105,1,Horticulture & Landscaping,Garden
105,1,Horticulture & Landscaping,Greenhouse
105,1,Horticulture & Landscaping,Pollinator Garden
105,1,Horticulture & Landscaping,Horticulture Program
105,1,Animal Agriculture,Beekeeping
106,1,Horticulture & Landscaping,Garden
107,1,Horticulture & Landscaping,Garden
109,1,Horticulture & Landscaping,Garden
109,1,Horticulture & Landscaping,Greenhouse
109,1,Crops & Silviculture,Orchard
110,1,Horticulture & Landscaping,Garden
110,1,Horticulture & Landscaping,Arboriculture
111,1,Horticulture & Landscaping,Garden
111,1,Horticulture & Landscaping,Landscaping
111,1,Horticulture & Landscaping,Pest Management
111,1,Horticulture & Landscaping,Greenhouse
113,1,Horticulture & Landscaping,Garden
115,1,Horticulture & Landscaping,Flowers
117,1,Horticulture & Landscaping,Garden
117,1,Horticulture & Landscaping,Flowers
118,1,Horticulture & Landscaping,Garden
118,1,Horticulture & Landscaping,Pollinator Garden
119,1,Horticulture & Landscaping,Garden
119,1,Horticulture & Landscaping,Flowers
120,1,Horticulture & Landscaping,Garden
120,1,Horticulture & Landscaping,Pollinator Garden
120,1,Horticulture & Landscaping,Gardening Enterprise Course
121,1,Horticulture & Landscaping,Greenhouse
124,1,Animal Agriculture,Equine
125,1,Horticulture & Landscaping,Greenhouse
125,1,Horticulture & Landscaping,Garden
127,1,Horticulture & Landscaping,Garden
128,1,Horticulture & Landscaping,Garden
129,1,Horticulture & Landscaping,Garden
132,1,Horticulture & Landscaping,Garden
132,1,Horticulture & Landscaping,Flowers
133,1,Horticulture & Landscaping,Horticulture Program
133,1,Horticulture & Landscaping,Garden
135,1,Horticulture & Landscaping,Garden
135,1,Horticulture & Landscaping,Native Species
141,1,Horticulture & Landscaping,Garden
142,1,Horticulture & Landscaping,Garden
143,1,Horticulture & Landscaping,Greenhouse
146,1,Horticulture & Landscaping,Horticulture Program
147,1,Horticulture & Landscaping,Garden
150,1,Horticulture & Landscaping,Garden
151,1,Horticulture & Landscaping,Greenhouse
151,1,Crops & Silviculture,Crops
151,1,Animal Agriculture,Dairy
152,1,Horticulture & Landscaping,Garden
152,1,Crops & Silviculture,Crops
153,1,Horticulture & Landscaping,Horticulture Program
157,1,Horticulture & Landscaping,Landscaping
159,1,Horticulture & Landscaping,Horticulture Program
160,1,Horticulture & Landscaping,Garden
160,1,Horticulture & Landscaping,Composting
160,1,Crops & Silviculture,Crops
162,1,Horticulture & Landscaping,Garden
162,1,Horticulture & Landscaping,Flowers
162,1,Crops & Silviculture,Firewood
162,1,Animal Agriculture,Beekeeping
162,1,Food Processing & Production,Food Processing
163,1,Horticulture & Landscaping,Garden
163,1,Horticulture & Landscaping,Flowers
163,1,Horticulture & Landscaping,Horticulture Program
163,1,Horticulture & Landscaping,Composting
163,1,Animal Agriculture,Beekeeping
164,1,Horticulture & Landscaping,Garden
164,1,Horticulture & Landscaping,Flowers
164,1,Crops & Silviculture,Crops
164,1,Animal Agriculture,Beekeeping
165,1,Horticulture & Landscaping,Composting
165,1,Animal Agriculture,Beekeeping
165,1,Food Processing & Production,Food Processing
166,1,Horticulture & Landscaping,Garden
166,1,Horticulture & Landscaping,Composting
166,1,Animal Agriculture,Beekeeping
167,1,Horticulture & Landscaping,Garden
167,1,Horticulture & Landscaping,Flowers
167,1,Horticulture & Landscaping,Composting
167,1,Animal Agriculture,Beekeeping
168,1,Horticulture & Landscaping,Composting
168,1,Horticulture & Landscaping,Flowers
168,1,Horticulture & Landscaping,Garden
168,1,Animal Agriculture,Beekeeping
169,1,Horticulture & Landscaping,Flowers
169,1,Horticulture & Landscaping,Garden
169,1,Horticulture & Landscaping,Composting
169,1,Horticulture & Landscaping,Horticulture Program
169,1,Crops & Silviculture,Silviculture
169,1,Crops & Silviculture,Firewood
170,1,Horticulture & Landscaping,Flowers
170,1,Horticulture & Landscaping,Garden
170,1,Horticulture & Landscaping,Greenhouse
170,1,Horticulture & Landscaping,Composting
170,1,Crops & Silviculture,Silviculture
170,1,Animal Agriculture,Beekeeping
171,1,Horticulture & Landscaping,Horticulture Program
171,1,Horticulture & Landscaping,Garden
171,1,Horticulture & Landscaping,Greenhouse
171,1,Horticulture & Landscaping,Flowers
171,1,Horticulture & Landscaping,Composting
171,1,Animal Agriculture,Beekeeping
172,1,Horticulture & Landscaping,Garden
172,1,Horticulture & Landscaping,Greenhouse
172,1,Horticulture & Landscaping,Composting
172,1,Horticulture & Landscaping,Horticulture Program
172,1,Crops & Silviculture,Crops
172,1,Animal Agriculture,Beekeeping
173,1,Horticulture & Landscaping,Composting
173,1,Animal Agriculture,Beekeeping
173,1,Animal Agriculture,Aquaculture
177,1,Horticulture & Landscaping,Garden
177,1,Horticulture & Landscaping,Horticulture Program
178,1,Horticulture & Landscaping,Garden
179,1,Horticulture & Landscaping,Garden
179,1,Food Processing & Production,Food Production
182,1,Horticulture & Landscaping,Horticulture Program
183,1,Horticulture & Landscaping,Garden
183,1,Horticulture & Landscaping,Pest Management
183,1,Horticulture & Landscaping,Horticulture Program
183,1,Crops & Silviculture,Crops
183,1,Animal Agriculture,Dairy
184,1,Horticulture & Landscaping,Horticulture Program
189,1,Horticulture & Landscaping,Garden
189,1,Crops & Silviculture,Orchard
189,1,Animal Agriculture,Beekeeping
191,1,Horticulture & Landscaping,Garden
193,1,Horticulture & Landscaping,Garden
193,1,Animal Agriculture,Pheasant
194,1,Horticulture & Landscaping,Garden
195,1,Horticulture & Landscaping,Garden
196,1,Horticulture & Landscaping,Garden
197,1,Horticulture & Landscaping,Garden
198,1,Horticulture & Landscaping,Garden
198,1,Crops & Silviculture,Crops
198,1,Animal Agriculture,Dairy
198,1,Food Processing & Production,Dairy Processing
199,1,Horticulture & Landscaping,Garden
200,1,Horticulture & Landscaping,Garden
201,1,Horticulture & Landscaping,Garden
202,1,Horticulture & Landscaping,Garden
202,1,Animal Agriculture,Pheasant
203,1,Horticulture & Landscaping,Garden
203,1,Animal Agriculture,Pheasant
204,1,Horticulture & Landscaping,Garden
205,1,Horticulture & Landscaping,Garden
206,1,Horticulture & Landscaping,Garden
206,1,Horticulture & Landscaping,Greenhouse
207,1,Horticulture & Landscaping,Horticulture Program
207,1,Horticulture & Landscaping,Garden
207,1,Horticulture & Landscaping,Greenhouse
207,1,Horticulture & Landscaping,Plant Starters
208,1,Horticulture & Landscaping,Garden
209,1,Horticulture & Landscaping,Garden
209,1,Horticulture & Landscaping,Flowers
210,1,Horticulture & Landscaping,Garden
210,1,Crops & Silviculture,Silviculture
